Repositorio;Nome;Estrelas;Anos;nº Releases;média CBO;desvio padão CBO;média LCOM;desvio padão LCOM;DIT máximo;LOC Total
material-components/material-components-android;material-components-android;15875;7.3;89;7.051519835136528;8.220958376539352;80.70942812982999;809.1458373804827;11.0;105025.0
baomidou/mybatis-plus;mybatis-plus;15638;7.6;28;5.533947065592635;6.228691968476574;25.934407364787113;159.8336637584478;7.0;30375.0
yuliskov/SmartTube;SmartTube;15624;3.65;344;6.617873158231903;7.945786894013525;64.04580397181294;463.8891190944576;49.0;229962.0
barry-ran/QtScrcpy;QtScrcpy;15578;4.75;29;4.421052631578948;5.32767474515969;29.736842105263158;111.80426604480338;4.0;3875.0
alibaba/DataX;DataX;14996;6.18;7;4.463818657367044;5.775609998791029;18.103748910200522;119.70098845908366;8.0;75304.0
dataease/dataease;dataease;14812;3.13;66;4.369565217391305;5.876847334547051;20.068115942028985;117.77873998350677;4.0;22499.0
hdodenhof/CircleImageView;CircleImageView;14528;10.18;0;11.0;10.677078252031311;178.66666666666666;252.67282314399299;3.0;360.0
mockito/mockito;mockito;14515;11.44;209;3.4997592681752527;4.553393179392773;18.326432354357244;278.7635060161306;19.0;51494.0
alibaba/ARouter;ARouter;14370;7.27;16;3.693877551020408;4.885230058011611;17.448979591836736;82.90640437694705;4.0;3165.0
Tencent/QMUI_Android;QMUI_Android;14307;6.92;35;5.468105065666041;6.560829208179781;35.34240150093809;197.80595325710337;16.0;58309.0
Konloch/bytecode-viewer;bytecode-viewer;14281;9.44;59;4.4831168831168835;5.279743268979879;11.976623376623376;51.44531302999583;10.0;19238.0
apache/hadoop;hadoop;14232;9.57;0;7.371631001962755;11.118990996054734;70.73588970271435;947.2767598233607;77.0;1588274.0
eclipse-vertx/vert.x;vert.x;13999;12.77;0;;;;;;
arduino/Arduino;Arduino;13970;13.52;37;4.131111111111111;6.044881111677961;32.72222222222222;208.02949725554564;21.0;25793.0
elastic/logstash;logstash;13961;13.35;138;5.672544080604534;6.1855097451423395;21.48110831234257;102.64936415041494;52.0;36731.0
orhanobut/logger;logger;13757;9.01;16;5.833333333333333;2.967415635794143;14.944444444444445;34.58399151537894;2.0;827.0
apache/pulsar;pulsar;13644;7.74;82;6.725244275922415;9.776340592584399;81.9590199795829;1380.4730193861506;153.0;464653.0
lgvalle/Material-Animations;Material-Animations;13546;9.04;0;4.4;4.013311184877976;4.7555555555555555;15.927831066065952;3.0;1010.0
Curzibn/Luban;Luban;13483;7.67;6;2.9655172413793105;4.730551900591039;10.862068965517242;24.494509079173778;2.0;1088.0
tink-crypto/tink;tink;13448;9.8;21;7.570644718792867;7.110109091920835;29.280521262002743;181.32180478588882;41.0;81031.0
java-decompiler/jd-gui;jd-gui;13417;9.0;18;4.538083538083538;5.423843914942632;11.115479115479115;51.01051518716394;15.0;19309.0
Bigkoo/Android-PickerView;Android-PickerView;13396;9.24;0;3.7252747252747254;5.029726871019291;15.494505494505495;90.0646133905821;2.0;4421.0
deeplearning4j/deeplearning4j;deeplearning4j;13389;10.32;0;8.558807685401328;9.591578712705052;55776.57694379601;2389570.0322557744;1463.0;551064.0
questdb/questdb;questdb;13359;9.9;77;5.901444350042481;7.384233562498325;234.2407816482583;4123.089085598879;45.0;455391.0
seaswalker/spring-analysis;spring-analysis;13342;7.54;0;2.4242424242424243;2.605708221418868;1.7878787878787878;3.140715762443195;4.0;378.0
JessYanCoding/AndroidAutoSize;AndroidAutoSize;13292;5.6;14;5.408163265306122;4.193865137277422;31.285714285714285;134.90223217166556;2.0;1720.0
gyoogle/tech-interview-for-developer;tech-interview-for-developer;13203;4.79;0;1.3076923076923077;0.7216024245882199;0.9230769230769231;2.921051930161157;1.0;636.0
pinpoint-apm/pinpoint;pinpoint;13176;9.43;56;5.143870105847292;5.520177967987483;16.954269859212825;148.91500951410057;20.0;358385.0
apache/druid;druid;13148;11.42;58;7.634107285828663;9.181098669158626;60.150884343838705;4317.659663010533;164.0;702320.0
Netflix/zuul;zuul;13119;11.03;7;6.497881355932203;7.485579056855392;25.14406779661017;135.31252434445963;10.0;20243.0
LuckSiege/PictureSelector;PictureSelector;13014;7.22;116;5.156037991858887;8.652107423294527;49.44911804613297;371.9331696544172;9.0;39103.0
quarkusio/quarkus;quarkus;12970;5.72;298;5.230401812093756;6.6810955033097486;77.56076423084498;7914.799622567447;16.0;631465.0
sqshq/piggymetrics;piggymetrics;12939;8.99;2;6.040404040404041;4.320304871208245;3.8282828282828283;10.028283642223979;2.0;1881.0
Netflix/conductor;conductor;12923;7.29;319;7.498493975903615;8.244019235395935;78.67469879518072;646.1861440276657;4.0;47052.0
youth5201314/banner;banner;12689;7.92;0;6.082191780821918;6.114777574461554;47.68493150684932;348.48705786437455;4.0;2724.0
facebookarchive/stetho;stetho;12665;9.17;13;4.3816013628620105;5.371468777005884;7.5042589437819425;31.247016603146985;21.0;19224.0
macrozheng/mall-learning;mall-learning;12664;4.95;0;5.004796163069544;4.858178204023359;490.9640287769784;5904.865372373223;4.0;29041.0
greenrobot/greenDAO;greenDAO;12610;12.42;8;5.019230769230769;4.6865676023930884;47.4532967032967;240.95176553266336;8.0;18545.0
theonedev/onedev;onedev;12532;5.38;316;5.754008551576697;8.566635478320508;21.176643506146444;338.2585654378927;8.0;265584.0
zhihu/Matisse;Matisse;12483;6.95;15;6.657894736842105;7.335122127169978;8.078947368421053;16.031845904402058;4.0;3418.0
daimajia/AndroidSwipeLayout;AndroidSwipeLayout;12351;9.58;18;3.7162162162162162;4.9114325269481265;58.9054054054054;477.0281925182914;3.0;2770.0
google/guice;guice;12321;9.82;19;3.833955223880597;5.356072667558753;7.994402985074627;75.03706064165574;43.0;79633.0
janishar/mit-deep-learning-book-pdf;mit-deep-learning-book-pdf;12235;6.96;3;0.0;0.0;0.0;0.0;1.0;2.0
Netflix/eureka;eureka;12180;11.66;148;5.881401617250674;6.426189187180171;18.57277628032345;134.42556016816178;9.0;32877.0
DuGuQiuBai/Java;Java;12128;8.33;0;0.7722132471728594;1.3116121539576122;1.0791599353796446;5.190260725872115;6.0;10840.0
codecentric/spring-boot-admin;spring-boot-admin;12117;9.67;118;7.681034482758621;6.18340261469061;7.148706896551724;29.013252739649516;5.0;13795.0
pagehelper/Mybatis-PageHelper;Mybatis-PageHelper;12029;9.79;14;5.815642458100559;4.907477023124915;29.966480446927374;190.89998257127547;5.0;7332.0
